ProductKey,Supplier,HierarchyLevel1,HierarchyLevel2,DIorDOM,Seasonal
46582,14733,70060,44977,DI,False
36894,14733,70060,44977,DI,False
49026,14733,70060,44977,DI,False
21780,14733,70060,44977,DI,False
41120,14733,70060,44977,DI,False
37108,14733,70060,44977,DI,False
53496,14733,70060,44977,DI,False
47074,14733,70060,44977,DI,False
51411,14733,70060,44977,DI,False
56227,14733,70060,44977,DI,False
39020,14733,70060,44977,DI,False
80114,14733,70060,44977,DI,False
58469,14733,70060,44977,DI,False
25808,14733,70060,44977,DI,False
21936,14733,70060,44977,DI,False
46641,14733,70060,44977,DI,False
3108,14733,70060,44977,DI,False
73950,14733,70060,44977,DI,False
41771,14733,70060,44977,DI,False
32409,14733,70060,44977,DI,False
55599,14733,70060,44977,DI,False
40734,14733,70060,44977,DI,False
43820,14733,70060,44977,DI,False
33427,14733,70060,44977,DI,False
47886,14733,70060,44977,DI,False
74424,14733,70060,44977,DI,False
14027,14733,70060,44977,DI,False
66729,14733,70060,44977,DI,False
13205,14733,70060,44977,DI,False
12001,14733,70060,44977,DI,False
22913,14733,70060,44977,DI,False
45766,14733,70060,44977,DI,False
12709,14733,70060,44977,DI,False
38740,14733,70060,44977,DI,False
645,14733,70060,44977,DI,False
67472,14733,70060,44977,DI,False
34884,14733,70060,44977,DI,False
32571,14733,70060,44977,DI,False
616,14733,70060,44977,DI,False
11702,14733,70060,44977,DI,False
46080,14733,70060,44977,DI,False
2043,14733,70060,44977,DI,False
29187,14733,70060,44977,DI,False
36800,14733,70060,44977,DI,False
10630,14733,70060,44977,DI,False
62327,14399,70060,56920,DOM,False
46320,14733,70060,44977,DI,False
6529,14733,70060,44977,DI,False
35927,24978,70060,56920,DI,False
41732,14733,70060,44977,DI,False
49079,14399,70060,56920,DOM,False
2300,14733,70060,44977,DI,False
67539,14733,70060,44977,DI,False
68118,14733,70060,44977,DI,False
25209,14733,70060,44977,DI,False
24602,14733,70060,44977,DI,False
69607,14733,70060,44977,DI,False
37143,1609,70060,56920,DI,False
4152,14733,70060,44977,DI,False
53373,14733,70060,44977,DI,False
1643,14733,70060,44977,DI,False
40427,14733,70060,44977,DI,False
79744,14733,70060,44977,DI,False
63641,14733,70060,44977,DI,False
10335,24978,70060,56920,DI,False
78978,14733,70060,44977,DI,False
16483,14733,70060,44977,DI,False
47130,13901,70060,56920,DOM,False
20947,13901,70060,56920,DOM,False
71549,79531,70060,44977,DI,False
45324,54211,70060,44977,DOM,False
56084,54211,70060,44977,DOM,False
54749,54211,70060,44977,DOM,False
61001,54211,70060,44977,DOM,False
70772,54211,70060,44977,DOM,False
32069,79531,70060,44977,DI,False
80171,54211,70060,44977,DOM,False
58143,54211,70060,44977,DOM,False
64193,54211,70060,44977,DOM,False
66121,54211,70060,44977,DOM,False
27357,54211,70060,44977,DOM,False
56744,54211,70060,44977,DOM,False
4214,54211,70060,44977,DOM,False
78348,13901,70060,56920,DOM,False
62421,13901,70060,56920,DOM,False
45185,14733,70060,44977,DI,False
13386,14733,70060,44977,DI,False
39819,14733,70060,44977,DI,False
70091,14733,70060,44977,DI,False
9837,14733,70060,44977,DI,False
48530,14733,70060,44977,DI,False
65085,14733,70060,44977,DI,False
44885,14733,70060,44977,DI,False
69230,14733,70060,44977,DI,False
77767,14733,70060,44977,DI,False
25347,14733,70060,44977,DI,False
54924,14733,70060,44977,DI,False
58073,14733,70060,44977,DI,False
36363,14733,70060,44977,DI,False
23644,14733,70060,44977,DI,False
19442,14733,70060,44977,DI,False
9497,14733,70060,44977,DI,False
21864,14733,70060,44977,DI,False
72254,14733,70060,44977,DI,False
13346,14733,70060,44977,DI,False
26070,14733,70060,44977,DI,False
77439,14733,70060,44977,DI,False
13646,14733,70060,44977,DI,False
77143,14733,70060,44977,DI,False
74339,14733,70060,44977,DI,False
54111,14733,70060,44977,DI,False
11251,14733,70060,44977,DI,False
46280,14733,70060,44977,DI,False
22334,14733,70060,44977,DI,False
7576,14733,70060,44977,DI,False
79373,24978,70060,56920,DI,False
63095,14733,70060,44977,DI,False
11577,14733,70060,44977,DI,False
568,14733,70060,44977,DI,False
71420,14733,70060,44977,DI,False
25415,14733,70060,44977,DI,False
40851,14733,70060,44977,DI,False
40032,14733,70060,44977,DI,False
23167,14733,70060,44977,DI,False
27472,14733,70060,44977,DI,False
79334,14733,70060,44977,DI,False
3545,14733,70060,44977,DI,False
72824,14733,70060,44977,DI,False
1359,14733,70060,44977,DI,False
60563,14733,70060,44977,DI,False
9648,14733,70060,44977,DI,False
46435,14733,70060,44977,DI,False
46547,14733,70060,44977,DI,False
48925,14733,70060,44977,DI,False
56690,14733,70060,44977,DI,False
77867,14733,70060,44977,DI,False
32408,14733,70060,44977,DI,False
59899,14733,70060,44977,DI,False
48431,14733,70060,44977,DI,False
2210,14733,70060,44977,DI,False
19523,14733,70060,44977,DI,False
16112,14733,70060,44977,DI,False
52440,14733,70060,44977,DI,False
16859,10665,70060,56920,DOM,False
54756,10665,70060,56920,DOM,False
9403,75798,70060,56920,DI,False
